,within-RMSE,within-PEHE,within-ATE,outof-RMSE,outof-PEHE,outof-ATE,train-RMSE,source_data_path,biased_data_path,outpath,agent,outcome,expid,model,hidden_rep,c_rep,c_out,alpha,sig,lr,wd
8,6.766065002099549,8.4515673439861,2.4505437971868558,7.271814933138486,8.865208734543929,3.001348641111728,21.281163907783814,./data/source_data,./data/biased_data,./data/result,400,MAX,5,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
2,7.832057574665434,9.88083000721698,2.8924058100214554,7.503303199248778,9.484707257803489,2.6759320429584834,22.15192239278879,./data/source_data,./data/biased_data,./data/result,400,MAX,3,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
4,6.561835965988382,7.990726844719995,2.3561607050904154,6.408172009166222,7.941799378333949,2.3190824154625047,22.765075101920054,./data/source_data,./data/biased_data,./data/result,400,MAX,6,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
0,7.431607159078911,9.281426085883156,2.552929455473198,7.899614113839055,9.238990041223683,2.446512591631842,22.90234995451943,./data/source_data,./data/biased_data,./data/result,400,MAX,0,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
7,6.764864878059536,8.385147659071821,2.6296435010675836,7.278411951302466,8.62042601288261,2.9938216756334155,24.145001156673928,./data/source_data,./data/biased_data,./data/result,400,MAX,8,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
5,7.264476195115207,8.97641682350482,2.757540175001348,7.825383734808907,9.82052718741898,3.4176239140548588,25.592043626392986,./data/source_data,./data/biased_data,./data/result,400,MAX,1,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
1,7.069782559508581,8.714469729396992,3.144721229615207,7.027799884774608,8.688402688771511,3.0841158043349948,25.93811938328664,./data/source_data,./data/biased_data,./data/result,400,MAX,2,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
9,8.008975627886127,9.597652438311101,2.617071236908711,9.710226257860581,10.752096170558232,3.2647046729853084,26.050131660263027,./data/source_data,./data/biased_data,./data/result,400,MAX,9,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
6,7.198952377940584,8.936566063086177,3.0610328193138607,7.269962288021636,9.052111207971972,3.4373412570967345,28.00951594269304,./data/source_data,./data/biased_data,./data/result,400,MAX,7,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
3,8.077947874909933,10.15276410209674,2.774371103293118,7.39140864130052,8.98095586533751,2.3826500015464003,28.113238499237855,./data/source_data,./data/biased_data,./data/result,400,MAX,4,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
