,within-RMSE,within-PEHE,within-ATE,outof-RMSE,outof-PEHE,outof-ATE,train-RMSE,source_data_path,biased_data_path,outpath,agent,outcome,expid,model,hidden_rep,c_rep,c_out,alpha,sig,lr,wd
0,1.818675179553823,2.1356786837785964,0.6398307172750856,2.2448703855765215,2.314053201921475,0.670342708222876,3.3368729265587267,./data/source_data,./data/biased_data,./data/result,400,STD,0,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
2,1.8334221371882238,2.1221470722108418,0.76498018051599,1.7623360972741735,2.083448015423123,0.6533534610904085,3.7687813209867365,./data/source_data,./data/biased_data,./data/result,400,STD,2,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
6,1.5424717110293311,1.738137511019759,0.42971386037596343,1.5175773120013052,1.6596363663752332,0.5869069275514333,3.82112206691264,./data/source_data,./data/biased_data,./data/result,400,STD,8,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
3,1.6899939393236987,1.9335099501564648,0.56829398316322,1.758685936199774,1.9748645950043306,0.6555806205452845,3.840271256494184,./data/source_data,./data/biased_data,./data/result,400,STD,3,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
8,1.8805251866651504,2.081868945719023,0.4749165469332071,1.7535808371062287,2.0105874994572455,0.599303011615517,3.840941383483562,./data/source_data,./data/biased_data,./data/result,400,STD,7,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
9,1.7698053356376882,1.876539541304491,0.4765127616383318,1.9661501941679913,2.004445205750521,0.48074966415737425,3.9349391894419425,./data/source_data,./data/biased_data,./data/result,400,STD,9,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
4,2.1855180225672335,2.4636468327176586,0.6396299140822165,2.103268151774304,2.3825671344580166,0.6928928573955437,3.974085480890657,./data/source_data,./data/biased_data,./data/result,400,STD,4,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
7,2.209997714710389,2.428624078270344,0.6737816929373414,2.415372500110977,2.5943391302257126,0.7221674548993635,4.451298083537577,./data/source_data,./data/biased_data,./data/result,400,STD,5,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
1,1.8851777293101935,2.1316853122481643,0.8967566173836763,1.9784650854894053,2.2165603549575286,1.0455689599794462,4.874606020907138,./data/source_data,./data/biased_data,./data/result,400,STD,1,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
5,1.769814685403465,1.9827595912205256,0.5631075833699664,1.6667390745110005,1.8679410208086027,0.5754849602523662,5.403101378862457,./data/source_data,./data/biased_data,./data/result,400,STD,6,SC-CFR,10,"[10, 10]","[80, 50]",1e-06,1.0,0.01,1e-08
