,within-RMSE,within-PEHE,within-ATE,outof-RMSE,outof-PEHE,outof-ATE,train-RMSE,source_data_path,biased_data_path,outpath,agent,outcome,expid,model,hidden_rep,c_rep,c_out,alpha,sig,lr,wd
3,1.6696499602220427,1.871967001309307,0.45122252712268796,1.7433119591737967,1.907593120860208,0.5328768884328099,3.5042191819941744,./data/source_data,./data/biased_data,./data/result,400,MEAN,3,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
0,2.0680338471720967,2.077842391735381,0.5096284813623208,2.405574188862231,2.3884594672743207,0.6270965643341881,3.533824264016839,./data/source_data,./data/biased_data,./data/result,400,MEAN,0,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
4,1.9814450796493315,1.9653119820858866,0.4515086883157658,1.9805414411280264,1.9104547644855119,0.4080613093144112,3.914348879604475,./data/source_data,./data/biased_data,./data/result,400,MEAN,4,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
6,1.866313903996336,2.117529714764379,0.5089727273457311,1.8838165016432393,2.116156726986393,0.44260009929818334,4.046855042730381,./data/source_data,./data/biased_data,./data/result,400,MEAN,6,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
2,2.0682461784599218,2.274972385788158,0.6289972169869426,2.3179101087573115,2.475852364317002,0.6946978275395155,4.100997871822781,./data/source_data,./data/biased_data,./data/result,400,MEAN,2,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
8,1.6800719233678472,1.8177594731683393,0.4601945243469124,1.6239003619346062,1.6946360477577445,0.4958563241377891,4.118784937170944,./data/source_data,./data/biased_data,./data/result,400,MEAN,8,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
9,1.7275115344442407,1.883472884871204,0.523427667345956,1.7628559640967263,1.9058113100241052,0.5800043215696854,4.141628959782016,./data/source_data,./data/biased_data,./data/result,400,MEAN,9,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
5,1.8183331188986809,1.9898369110746532,0.47703276492438806,1.9782248337987363,2.038371437335613,0.5516718878667893,4.321682781192428,./data/source_data,./data/biased_data,./data/result,400,MEAN,5,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
7,2.0499966574194333,2.185277222398281,0.6212293016667945,1.862182604505162,2.0105794319941204,0.7071754595503955,4.55308190361546,./data/source_data,./data/biased_data,./data/result,400,MEAN,7,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
1,1.8949501398960253,1.8671679343805032,0.44206564201939186,1.860954339769628,1.8352880135428729,0.4983349515336963,5.244391029889984,./data/source_data,./data/biased_data,./data/result,400,MEAN,1,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
