,within-RMSE,within-PEHE,within-ATE,outof-RMSE,outof-PEHE,outof-ATE,train-RMSE,source_data_path,biased_data_path,outpath,agent,outcome,expid,model,hidden_rep,c_rep,c_out,alpha,sig,lr,wd
0,1.8139348817247472,2.1372521464312433,0.632737699053455,2.2345489859589485,2.316195341038002,0.6666546516297179,3.3364866721151003,./data/source_data,./data/biased_data,./data/result,400,STD,0,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
2,1.8666232427545413,2.1619535842669513,0.7792095646120044,1.8016604556752944,2.1224522364264113,0.6642356241906757,3.7829835769977977,./data/source_data,./data/biased_data,./data/result,400,STD,2,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
8,1.5429780863428426,1.7398072268816969,0.43485055441817727,1.5140829775881517,1.6587186839553727,0.5896298877532274,3.8083882016211255,./data/source_data,./data/biased_data,./data/result,400,STD,8,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
7,1.8755825915694098,2.0729339779182316,0.4761571981023144,1.7347082709626878,1.9887814298029385,0.6030057881449274,3.858500422033576,./data/source_data,./data/biased_data,./data/result,400,STD,7,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
3,1.7224964483161147,1.9657614030000226,0.5791753004602804,1.7846279332630572,2.0019051606201277,0.6591919383783451,3.878207055671277,./data/source_data,./data/biased_data,./data/result,400,STD,3,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
9,1.7838950252261703,1.8855974120257586,0.48734908943179384,1.9735591396224197,2.0162702811700064,0.49179410218434544,3.938604324421984,./data/source_data,./data/biased_data,./data/result,400,STD,9,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
4,2.2111583926129375,2.4865994471513364,0.6479776613757856,2.1252048503662895,2.407661411566213,0.703107784884166,4.02216225256593,./data/source_data,./data/biased_data,./data/result,400,STD,4,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
5,2.2504136921994724,2.4819700519809853,0.6957431053617089,2.4676818471532047,2.640843922029985,0.7384328738142854,4.486876607223042,./data/source_data,./data/biased_data,./data/result,400,STD,5,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
1,1.8948196679105327,2.141667875967802,0.9001963084820984,1.9853274311326783,2.2227448540836776,1.0385444919122517,4.855422866541725,./data/source_data,./data/biased_data,./data/result,400,STD,1,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
6,1.7527482240674912,1.9701367206605667,0.5572680332483093,1.6516649540042077,1.864253902837909,0.5681338647257939,5.338468340835391,./data/source_data,./data/biased_data,./data/result,400,STD,6,TARConv,10,"[10, 10]","[80, 50]",0.0,0.0,0.01,1e-08
