,0,1,2,3,4,5,6,7
87100,48,81,106,80,65,69,0,0
87612,59,75,110,75,64,73,0,0
88124,56,78,109,75,67,71,0,0
88636,58,69,109,79,71,67,0,0
89148,50,76,109,75,62,68,0,0
89660,49,76,111,79,66,65,0,0
90172,55,76,112,77,62,69,0,0
90684,56,70,107,76,65,72,0,0
91196,50,75,109,79,67,72,0,0
91708,61,74,108,74,59,66,0,0
102460,89,58,50,71,38,76,0,0
102972,91,51,49,71,39,81,0,0
103484,88,54,56,69,39,80,0,0
103996,89,55,57,71,40,73,0,0
104508,90,54,54,67,38,76,0,0
105020,85,54,52,76,38,78,0,0
105532,89,56,56,70,37,77,0,0
106044,88,55,54,68,36,79,0,0
106556,87,53,53,75,43,81,0,0
107068,93,52,54,68,37,79,0,0
112700,87,77,55,83,41,53,0,0
113212,86,71,62,84,43,53,0,0
113724,88,72,60,82,42,49,0,0
114236,87,69,61,82,41,48,0,0
114748,87,66,63,78,43,54,0,0
115260,81,72,58,88,39,55,0,0
115772,86,72,66,85,41,50,0,0
116284,83,71,59,81,45,55,0,0
116796,85,63,63,90,47,54,0,0
117308,90,69,59,81,42,51,0,0
117820,89,80,77,85,52,76,0,0
118332,90,74,82,83,53,77,0,0
118844,90,73,80,87,55,77,0,0
119356,87,72,81,85,53,77,0,0
119868,90,72,78,80,54,77,0,0
120380,86,77,78,90,52,77,0,0
120892,89,76,87,85,51,77,0,0
121404,89,74,79,81,52,81,0,0
121916,89,69,83,92,58,78,0,0
122428,93,71,78,85,55,77,0,0
122940,84,92,68,94,44,26,0,0
123452,86,87,66,97,45,26,0,0
123964,85,88,69,96,46,28,0,0
124476,83,90,69,99,47,24,0,0
124988,84,87,69,93,46,25,0,0
125500,80,85,65,102,45,27,0,0
126012,84,89,70,95,43,26,0,0
126524,83,91,73,98,46,25,0,0
127036,84,86,69,101,46,28,0,0
127548,89,85,69,97,46,24,0,0
128060,85,94,86,98,60,47,0,0
128572,87,89,85,101,60,48,0,0
129084,88,89,89,98,57,55,0,0
129596,86,93,89,101,55,54,0,0
130108,88,92,90,98,58,47,0,0
130620,81,89,88,105,55,54,0,0
131132,87,90,92,100,58,50,0,0
131644,85,93,100,100,55,51,0,0
132156,87,91,90,103,60,57,0,0
132668,91,88,91,99,58,51,0,0
133180,88,98,105,101,68,75,0,0
133692,91,94,107,101,67,78,0,0
134204,90,95,109,101,67,77,0,0
134716,88,95,108,104,70,76,0,0
135228,90,93,108,99,66,79,0,0
135740,86,91,107,106,67,79,0,0
136252,89,94,110,101,66,77,0,0
136764,88,96,111,104,68,77,0,0
137276,89,94,111,108,68,79,0,0
137788,94,92,109,102,67,77,0,0
179260,17,63,114,55,62,66,0,0
179772,17,63,108,55,62,63,0,0
180284,15,61,115,53,59,63,0,0
180796,14,67,108,55,59,59,0,0
181308,20,64,113,56,61,61,0,0
181820,15,62,110,53,62,61,0,0
182332,18,64,112,49,59,62,0,0
182844,16,63,112,55,58,63,0,0
183356,17,63,113,48,61,62,0,0
183868,14,63,112,53,59,63,0,0
194620,52,42,61,51,34,69,0,0
195132,55,45,52,49,34,72,0,0
195644,50,38,65,49,37,71,0,0
196156,56,48,57,48,32,70,0,0
196668,56,43,59,44,36,68,0,0
197180,52,45,54,49,35,68,0,0
197692,56,44,61,46,33,69,0,0
198204,52,41,55,48,33,69,0,0
198716,49,37,60,50,33,71,0,0
199228,50,45,61,48,32,72,0,0
204860,49,56,62,65,43,42,0,0
205372,50,66,64,63,34,43,0,0
205884,50,54,66,62,36,43,0,0
206396,54,59,64,59,31,40,0,0
206908,55,59,64,58,37,45,0,0
207420,48,64,57,64,36,47,0,0
207932,53,60,71,61,37,42,0,0
208444,50,59,64,59,39,40,0,0
208956,47,54,65,60,41,45,0,0
209468,46,63,66,60,34,46,0,0
209980,52,56,83,67,51,70,0,0
210492,54,69,85,62,45,69,0,0
211004,50,57,87,65,47,73,0,0
211516,53,60,87,63,45,71,0,0
212028,56,65,84,62,48,65,0,0
212540,52,68,77,67,49,69,0,0
213052,56,64,92,61,47,69,0,0
213564,54,62,83,62,48,68,0,0
214076,49,59,87,64,53,73,0,0
214588,49,65,85,64,46,72,0,0
215100,46,72,73,80,42,15,0,0
215612,50,84,69,73,39,17,0,0
216124,45,72,76,79,42,20,0,0
216636,51,80,70,74,39,18,0,0
217148,51,81,73,73,41,18,0,0
217660,46,78,66,76,42,17,0,0
218172,51,77,75,71,39,18,0,0
218684,49,76,70,73,40,16,0,0
219196,43,78,73,76,40,24,0,0
219708,44,77,71,80,47,16,0,0
220220,48,76,94,81,52,43,0,0
220732,51,86,88,77,54,39,0,0
221244,47,73,96,82,52,49,0,0
221756,51,81,91,76,50,48,0,0
222268,54,85,94,75,52,43,0,0
222780,47,82,89,79,52,44,0,0
223292,54,78,97,76,54,42,0,0
223804,50,82,91,74,52,40,0,0
224316,45,81,92,80,53,47,0,0
224828,46,78,94,78,56,46,0,0
225340,52,78,113,84,62,72,0,0
225852,55,91,110,77,61,69,0,0
226364,49,78,119,84,63,72,0,0
226876,55,86,111,79,62,72,0,0
227388,56,86,111,79,66,67,0,0
227900,52,84,108,80,64,69,0,0
228412,56,82,115,77,62,69,0,0
