name,block,x,y
s_2_12,A_l,-13031.599669178999,-35581.387859731
s_2_13,A_l,-13030.804763408101,-35581.5613389308
s_2_14,A_l,-13030.023666058101,-35581.7223899308
s_2_15,A_l,-13029.250621258101,-35581.883440930804
s_2_16,A_l,-13028.432049428999,-35582.0539094102
s_2_17,A_l,-13027.596912146899,-35582.1773629514
s_2_18,A_l,-13026.909657125902,-35582.2162607719
s_2_19,A_l,-13026.311440508101,-35582.2377531308
s_2_20,A_l,-13025.7638671081,-35582.2377531308
s_2_21,A_l,-13025.265171579,-35582.249561334305
s_2_24,A_r,-13023.4447327081,-35582.3021735308
s_2_25,A_r,-13022.864949108101,-35582.3021735308
s_2_26,A_r,-13022.299607478999,-35582.3101688521
s_2_27,A_r,-13021.542667778998,-35582.2457484521
s_2_28,A_r,-13020.666602958101,-35582.1089123308
s_2_29,A_r,-13019.8613479581,-35582.0042291808
s_2_30,A_r,-13019.104408258101,-35581.883440930804
s_2_31,A_r,-13018.376299584299,-35581.7529279531
s_2_22,A_r,-13024.685387979,-35582.2737189843
s_2_23,A_r,-13024.0647790581,-35582.2860684308
s_3_13,A_l,-13030.8305382174,-35582.7571145062
s_3_14,A_l,-13030.0549742175,-35582.9209660554
s_3_15,A_l,-13029.2466399078,-35583.0738941681
s_3_16,A_l,-13028.410312939799,-35583.2179889107
s_3_17,A_l,-13027.6729809681,-35583.3217615585
s_3_18,A_l,-13027.040105710901,-35583.3742886751
s_3_19,A_l,-13026.401084668702,-35583.417982421604
s_3_20,A_l,-13025.7893722181,-35583.4398292948
s_3_21,A_l,-13025.2554122922,-35583.4723290713
s_3_22,A_r,-13024.6600849965,-35583.4996376629
s_3_23,A_r,-13024.019775486,-35583.4999081962
s_3_24,A_r,-13023.3862161621,-35583.5053699145
s_3_25,A_r,-13022.801812303,-35583.5108316328
s_3_26,A_r,-13022.2718899829,-35583.5161962371
s_3_27,A_r,-13021.550943166101,-35583.4288087441
s_3_28,A_r,-13020.7482062188,-35583.2705160272
s_3_29,A_r,-13019.9835656555,-35583.1394347878
s_3_30,A_r,-13019.2189250923,-35583.0083535484
s_4_13,A_l,-13030.804763408101,-35583.9613389308
s_4_14,A_l,-13030.023666058101,-35584.1223899308
s_4_15,A_l,-13029.250621258101,-35584.2834409308
s_4_16,A_l,-13028.432049428999,-35584.453909410295
s_4_17,A_l,-13027.634846979,-35584.5908027602
s_4_18,A_l,-13026.9475919581,-35584.6297005808
s_4_19,A_l,-13026.311440508101,-35584.6377531308
s_4_20,A_l,-13025.7638671081,-35584.6377531308
s_4_21,A_l,-13025.265171579,-35584.6495613343
s_4_24,A_r,-13023.4447327081,-35584.7021735308
s_4_25,A_r,-13022.864949108101,-35584.7021735308
s_4_26,A_r,-13022.299607478999,-35584.7101688521
s_4_27,A_r,-13021.542667778998,-35584.6457484521
s_4_28,A_r,-13020.666602958101,-35584.5089123308
s_4_29,A_r,-13019.8613479581,-35584.4042291808
s_4_30,A_r,-13019.104408258101,-35584.2834409308
s_4_22,A_r,-13024.685387979,-35584.673718984304
s_4_23,A_r,-13024.0647790581,-35584.6860684308
s_5_13,A_l,-13030.8305382174,-35585.157114506204
s_5_14,A_l,-13030.0549742175,-35585.3209660554
s_5_15,A_l,-13029.2466399078,-35585.4738941681
s_5_16,A_l,-13028.410312939799,-35585.6179889107
s_5_17,A_l,-13027.6729809681,-35585.7217615585
s_5_18,A_l,-13027.040105710901,-35585.7742886751
s_5_19,A_l,-13026.401084668702,-35585.8179824216
s_5_20,A_l,-13025.7893722181,-35585.8398292948
s_5_21,A_l,-13025.2554122922,-35585.8723290713
s_5_22,A_r,-13024.6600849965,-35585.8996376629
s_5_23,A_r,-13024.019775486,-35585.8999081962
s_5_24,A_r,-13023.3862161621,-35585.9053699145
s_5_25,A_r,-13022.801812303,-35585.9108316328
s_5_26,A_r,-13022.2718899829,-35585.9161962371
s_5_27,A_r,-13021.550943166101,-35585.8288087441
s_5_28,A_r,-13020.7482062188,-35585.6705160272
s_5_29,A_r,-13019.9835656555,-35585.539434787795
s_5_30,A_r,-13019.2189250923,-35585.408353548395
s_6_13,A_l,-13030.804763408101,-35586.2613389308
s_6_14,A_l,-13030.023666058101,-35586.4223899308
s_6_15,A_l,-13029.250621258101,-35586.5834409308
s_6_16,A_l,-13028.432049428999,-35586.7539094102
s_6_17,A_l,-13027.596912146899,-35586.8773629514
s_6_18,A_l,-13026.909657125902,-35586.9162607719
s_6_19,A_l,-13026.311440508101,-35586.9377531308
s_6_20,A_l,-13025.7638671081,-35586.9377531308
s_6_21,A_l,-13025.265171579,-35586.9495613343
s_6_24,A_r,-13023.4447327081,-35587.002173530804
s_6_25,A_r,-13022.864949108101,-35587.002173530804
s_6_26,A_r,-13022.299607478999,-35587.0101688521
s_6_27,A_r,-13021.542667778998,-35586.9457484521
s_6_28,A_r,-13020.666602958101,-35586.8089123308
s_6_29,A_r,-13019.8613479581,-35586.7042291808
s_6_30,A_r,-13019.104408258101,-35586.5834409308
s_6_22,A_r,-13024.685387979,-35586.9737189843
s_6_23,A_r,-13024.0647790581,-35586.9860684308
s_7_13,A_l,-13030.8305382174,-35587.3571145062
s_7_14,A_l,-13030.0549742175,-35587.5209660554
s_7_15,A_l,-13029.2466399078,-35587.6738941681
s_7_16,A_l,-13028.410312939799,-35587.8179889107
s_7_17,A_l,-13027.6729809681,-35587.9217615585
s_7_18,A_l,-13027.040105710901,-35587.9742886751
s_7_19,A_l,-13026.401084668702,-35588.0179824216
s_7_20,A_l,-13025.7893722181,-35588.0398292948
s_7_21,A_l,-13025.2554122922,-35588.0723290713
s_7_22,A_r,-13024.6600849965,-35588.0996376629
s_7_23,A_r,-13024.019775486,-35588.0999081962
s_7_24,A_r,-13023.3862161621,-35588.105369914505
s_7_25,A_r,-13022.801812303,-35588.110831632795
s_7_26,A_r,-13022.2718899829,-35588.1161962371
s_7_27,A_r,-13021.550943166101,-35588.0288087441
s_7_28,A_r,-13020.7482062188,-35587.8705160272
s_7_29,A_r,-13019.9835656555,-35587.7394347878
s_7_30,A_r,-13019.2189250923,-35587.6083535484
s_8_13,A_l,-13030.804763408101,-35588.4613389308
s_8_14,A_l,-13030.023666058101,-35588.6223899308
s_8_15,A_l,-13029.250621258101,-35588.7834409308
s_8_16,A_l,-13028.432049428999,-35588.9539094102
s_8_17,A_l,-13027.634846979,-35589.0908027602
s_8_18,A_l,-13026.9475919581,-35589.1297005808
s_8_19,A_l,-13026.311440508101,-35589.1377531308
s_8_20,A_l,-13025.7638671081,-35589.1377531308
s_8_21,A_l,-13025.265171579,-35589.1495613343
s_8_24,A_r,-13023.4447327081,-35589.2021735308
s_8_25,A_r,-13022.864949108101,-35589.2021735308
s_8_26,A_r,-13022.299607478999,-35589.2101688521
s_8_27,A_r,-13021.542667778998,-35589.1457484521
s_8_28,A_r,-13020.666602958101,-35589.0089123308
s_8_29,A_r,-13019.8613479581,-35588.9042291808
s_8_30,A_r,-13019.104408258101,-35588.7834409308
s_8_22,A_r,-13024.685387979,-35589.173718984304
s_8_23,A_r,-13024.0647790581,-35589.1860684308
s_9_13,A_l,-13030.8305382174,-35589.7571145061
s_9_14,A_l,-13030.0549742175,-35589.9209660554
s_9_15,A_l,-13029.2466399078,-35590.0738941681
s_9_16,A_l,-13028.410312939799,-35590.2179889107
s_9_17,A_l,-13027.6729809681,-35590.3217615585
s_9_18,A_l,-13027.040105710901,-35590.3742886751
s_9_19,A_l,-13026.401084668702,-35590.417982421604
s_9_20,A_l,-13025.7893722181,-35590.4398292948
s_9_21,A_l,-13025.2554122922,-35590.4723290713
s_9_22,A_r,-13024.6600849965,-35590.4996376629
s_9_23,A_r,-13024.019775486,-35590.4999081962
s_9_24,A_r,-13023.3862161621,-35590.5053699145
s_9_25,A_r,-13022.801812303,-35590.5108316328
s_9_26,A_r,-13022.2718899829,-35590.516196237004
s_9_27,A_r,-13021.550943166101,-35590.4288087441
s_9_28,A_r,-13020.7482062188,-35590.2705160272
s_9_29,A_r,-13019.9835656555,-35590.1394347878
s_9_30,A_r,-13019.2189250923,-35590.0083535484
s_10_13,A_l,-13030.804763408101,-35590.9613389308
s_10_14,A_l,-13030.023666058101,-35591.1223899308
s_10_15,A_l,-13029.250621258101,-35591.2834409308
s_10_16,A_l,-13028.432049428999,-35591.4539094102
s_10_17,A_l,-13027.596912146899,-35591.5773629514
